Year,Gender,Sleep_Difficulty,Avg_Sleep_Hours,Wake_Frequency,Sleep_Quality,Concentration_Issue,Daytime_Fatigue,Missed_Classes,Sleep_Impact_Assignments,Device_Use_Before_Sleep,Caffeine_Use,Physical_Activity,Academic_Stress,Academic_Performance
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Sometimes,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Always,Sometimes,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Sometimes,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Sometimes,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Sometimes,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Sometimes,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Sometimes,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Sometimes,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Average,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Sometimes,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,6-7 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,6-7 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
First year,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Always,Always,Sometimes,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Sometimes,Often,Sometimes,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Always,Always,Moderate impact,Often,Often,Often,Extremely high stress,Good
Graduate student,Male,Often,7-8 hours,Often,Average,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,6-7 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Sometimes,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Second year,Male,Often,7-8 hours,Often,Very good,Often,Sometimes,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Very good,Sometimes,Often,Always,Major impact,Sometimes,Often,Every day,Extremely high stress,Below Average
Second year,Female,Sometimes,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Second year,Male,Often,7-8 hours,Sometimes,Good,Sometimes,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Sometimes,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,High stress,Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Often,Sometimes,Moderate impact,Often,Often,Sometimes,High stress,Below Average
Second year,Female,Often,7-8 hours,Often,Good,Often,Often,Sometimes,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Often,Always,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,High stress,Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Sometimes,High stress,Below Average
Third year,Female,Often,More than 8 hours,Often,Good,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Always,Sometimes,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Sometimes,Good,Often,Often,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Always,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Sometimes,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Often,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very good,Often,Sometimes,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Good,Often,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Second year,Female,Often,More than 8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very good,Always,Always,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very good,Often,Often,Often,Moderate impact,Often,Often,Often,High stress,Below Average
Third year,Female,Often,7-8 hours,Often,Very good,Often,Often,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Average,Sometimes,Sometimes,Sometimes,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,High stress,Below Average
Graduate student,Female,Sometimes,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Poor,Often,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Poor,Sometimes,Always,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Sometimes,Very poor,Always,Always,Sometimes,Major impact,Sometimes,Often,Often,High stress,Below Average
Third year,Male,Often,7-8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
First year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Third year,Male,Often,More than 8 hours,Often,Very poor,Always,Often,Often,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Often,High stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Sometimes,Very poor,Always,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Often,Always,Often,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Male,Often,7-8 hours,Often,Very poor,Often,Often,Often,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,7-8 hours,Often,Very poor,Often,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Often,Extremely high stress,Below Average
Graduate student,Male,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
Graduate student,Female,Often,More than 8 hours,Often,Very poor,Always,Always,Always,Major impact,Often,Often,Every day,Extremely high stress,Below Average
